,tconst,year,genres,averagerating,numvotes,title,studio,foreign_gross,release_date,budgets,world_gross,domestic_gross,rating,director,writer,theater_date
2167,,,Drama|Science Fiction and Fantasy,,,,,,,,,,PG,Fred Schepisi,"Chip Proser|Charles ""Chip"" Proser","Apr 13, 1984"
2168,,,Drama|Musical and Performing Arts,,,,,,,,,,PG,Michael Apted,Tom Rickman|Thomas Rickman,"Mar 7, 1980"
2169,,,Documentary,,,,,,,,,,NR,Daston Kalili,Jessica Cauffiel|Daston Kalili,
2170,,,Comedy,,,,CBS Films,,,,"3,400,000",,R,Maggie Carey,Maggie Carey,"Jul 26, 2013"
2171,,,Action and Adventure|Western,,,,,,,,,,NR,William Witney|John English,Rex Taylor Smith|Sol Shore|Franklin Adreon|Ronald Davidson|Barry Shipman,
2172,,,Documentary|Drama,,,,Artisan,,,,,,R,David Veloz,David Veloz,"Sep 16, 1998"
2173,,,Drama|Musical and Performing Arts,,,,,,,,,,PG,Steve Rash,Robert Gittler,"Jan 1, 1978"
2174,,,Drama,,,,Sony Pictures Classics,,,,,,R,,,"Apr 13, 2018"
2175,,,Art House and International|Drama|Horror|Mystery and Suspense,,,,Film Sales Company,,,,,,NR,Carl Bessai,Arne Olsen,
2176,,,Action and Adventure|Art House and International,,,,,,,,,,R,,Michael Lester,"Oct 5, 1984"
2177,,,Art House and International|Drama,,,,,,,,,,G,Casper Wrede|Caspar Wrede,Ronald Harwood,
2178,,,Action and Adventure|Drama,,,,,,,,,,NR,Michael Thornhill,,
2179,,,Comedy|Romance,,,,Sony Pictures,,,,"177,575,142",,PG-13,Andrew Tennant|Andy Tennant,Kevin Bisch,"Feb 11, 2005"
2180,,,Drama|Mystery and Suspense,,,,,,,,,,R,Joseph Ruben,Ian McEwan,"Sep 24, 1993"
2181,,,Action and Adventure|Drama|Mystery and Suspense,,,,,,,,"53,100,000",,PG-13,Christopher Nolan,Jonathan Nolan|Christopher Nolan,"Oct 20, 2006"
2182,,,Art House and International|Drama|Romance,,,,Regent Releasing,,,,"463,914",,NR,Haim Tabakman,Merav Doster,"Feb 5, 2010"
2183,,,Action and Adventure|Science Fiction and Fantasy,,,,Summit Entertainment.,,,,,,PG-13,Breck Eisner,Matt Sazama|Burk Sharpless|Cory Goodman,"Oct 23, 2015"
2184,,,Action and Adventure|Comedy|Horror|Romance,,,,,,,,,,R,John Landis,Michael Wolk,"Sep 25, 1992"
2185,,,Action and Adventure|Drama|Mystery and Suspense,,,,20th Century Fox,,,,"40,632,110",,PG-13,,Beau Thorne,"Oct 17, 2008"
2186,,,Art House and International|Horror|Mystery and Suspense,,,,,,,,,,NR,Lucio Fulci,Lucio Fulci,"Jan 1, 1987"
2187,,,Action and Adventure|Science Fiction and Fantasy,,,,20th Century Fox,,,,"214,813,155",,PG-13,Bryan Singer,Daniel Harris|Dan Harris|Michael Dougherty|Bryan Singer|David Hayter,"May 2, 2003"
2188,,,Action and Adventure|Animation|Kids and Family,,,,Paramount Pictures,,,,"123,188,232",,PG,Gore Verbinski,John Logan,"Mar 4, 2011"
2189,,,Drama|Musical and Performing Arts|Faith and Spirituality,,,,Fox Searchlight,,,,"4,894,004",,PG,Kasi Lemmons,Kasi Lemmons,"Nov 27, 2013"
2190,,,Drama,,,,,,,,,,R,John Byrum,John Byrum,
2191,,,Animation|Art House and International|Kids and Family,,,,,,,,,,G,Alan Bunce,,"Jul 28, 1989"
2192,,,Drama,,,,,,,,,,R,Beth B,,
2193,,,Art House and International|Drama,,,,IFC First Take,,,,"241,672",,R,Gus Van Sant,Gus Van Sant,"May 21, 2007"
2194,,,Comedy,,,,,,,,,,NR,,Bohumil Hrabal,
2195,,,Action and Adventure|Drama,,,,20th Century Fox,,,,"20,900,803",,PG-13,,Edward Burns|Scott Frank,"Dec 17, 2004"
2196,,,Art House and International,,,,,,,,,,NR,Peque Gallaga,,
2197,,,Comedy|Drama,,,,Lions Gate Films,,,,,,R,,,"Jul 25, 2003"
2198,,,Art House and International|Drama|Mystery and Suspense|Romance,,,,,,,,"1,626,909",,PG-13,Julian Jarrold,Trevor De Silva|Kevin Hood,"Dec 4, 2015"
2199,,,Comedy|Romance,,,,,,,,,,PG-13,Andrew Gallerani,Stan Williamson,"Mar 1, 1997"
2200,,,Drama|Mystery and Suspense|Television,,,,,,,,,,NR,Robert Greenwald,Rose Leiman Goldemberg,"Oct 8, 1984"
2201,,,Documentary|Special Interest,,,,Knowledge Matters,,,,,,NR,Brent Leung,,
2202,,,Art House and International|Drama,,,,,,,,,,PG,,Suzanne Schiffman|Jean Gruault|Jan Dawson,"Oct 8, 1975"
2203,,,Classics|Drama|Mystery and Suspense,,,,,,,,,,PG,Arthur Ripley,Philip Yordan,"Nov 16, 1946"
2204,,,Action and Adventure|Art House and International|Drama,,,,Sony Pictures Classics,,,,"10,928,042",,PG-13,Yimou Zhang,Feng Li|Bin Wang|Yimou Zhang,"Dec 3, 2004"
2205,,,Action and Adventure|Anime and Manga|Art House and International|Science Fiction and Fantasy,,,,ADV Films,,,,,,R,Shinsuke Sato,Shinsuke Sato|Kei Kunii,"Oct 10, 2002"
2206,,,Art House and International|Documentary|Faith and Spirituality,,,,Ocilloscope Pictures,,,,,,PG,Nati Baratz,Nati Baratz|Ilil Alexander|Ron Goldman,"Jun 3, 2009"
2207,,,Comedy|Drama,,,,,,,,,,R,Vondie Curtis-Hall,Vondie Curtis-Hall,"Jan 31, 1997"
2208,,,Classics|Science Fiction and Fantasy,,,,,,,,,,PG,Boris Sagal,,"Aug 1, 1971"
2209,,,Art House and International|Comedy|Horror|Mystery and Suspense,,,,,,,,,,NR,Cheol-su Park,,"May 3, 1996"
2210,,,Drama|Mystery and Suspense,,,,,,,,,,R,Spike Lee,Richard Price|Spike Lee,"Sep 13, 1995"
2211,,,Comedy|Drama|Romance,,,,,,,,,,R,Luis Mandoki,Al Franken|Ronald Bass|Susan Shilliday,"Apr 29, 1994"
2212,,,Art House and International|Drama,,,,,,,,,,NR,Hong Sang-soo,Hong Sang-soo,
2213,,,Classics|Comedy|Romance,,,,,,,,,,NR,Paul Wendkos,Gabrielle Upton,"Jan 1, 1959"
2214,,,Art House and International|Mystery and Suspense,,,,,,,,,,NR,Antonio Bonifacio,,
